Feature ENSEMBLE ID	Entrezgene	External Gene Name	Gene Biotype	External Gene Source	Transcript count	Description	K27M  vs WT day0 logFC	K27M  vs WT day0 Ci.L	K27M  vs WT day0 Ci.R	K27M  vs WT day0 p-value	 K27M  vs WT day0 Adj. p-value	K27M  vs WT day5 LogFC	 K27M  vs WT day5 Ci.L	K27M  vs WT day5 Ci.R	 K27M  vs WT day5  p-value	K27M  vs WT day5  adj p-value	WT day 5 vs WT day 0 logFC	WT day 5 vs WT day 0 CI.L	WT day 5 vs WT day 0 CI.R	WT day 5 vs WT day 0 p-value	WT day 5 vs WT day 0 Adj p-value	K27M day 5 vs K27M day 0 logFC	K27M day 5 vs K27M day 0 CI.L	K27M day 5 vs K27M day 0 CI.R	K27M day 5 vs K27M day 0 p-value	K27M day 5 vs K27M day 0 Adj p-value	
ENSG00000115998	54980	C2orf42	protein_coding	HGNC Symbol	14	chromosome 2 open reading frame 42 [Source:HGNC Symbol;Acc:HGNC:26056]	0.05	-0.18	0.28	0.67	0.85	-0.28	-0.47	-0.09	0.01	0.02	1.01	0.77	1.25	0.00	0.00	0.68	0.50	0.86	0.00	0.00	
ENSG00000116001	7072	TIA1	protein_coding	HGNC Symbol	20	TIA1 cytotoxic granule associated RNA binding protein [Source:HGNC Symbol;Acc:HGNC:11802]	0.06	-0.14	0.26	0.55	0.77	0.05	-0.16	0.26	0.62	0.73	0.82	0.58	1.06	0.00	0.00	0.81	0.64	0.98	0.00	0.00	
ENSG00000116005	51449	PCYOX1	protein_coding	HGNC Symbol	6	prenylcysteine oxidase 1 [Source:HGNC Symbol;Acc:HGNC:20588]	0.02	-0.24	0.28	0.87	0.95	-0.24	-0.51	0.02	0.07	0.13	0.41	0.11	0.71	0.01	0.02	0.15	-0.07	0.37	0.18	0.22	
ENSG00000116014	84634	KISS1R	protein_coding	HGNC Symbol	3	KISS1 receptor [Source:HGNC Symbol;Acc:HGNC:4510]	-0.10	-0.57	0.37	0.66	0.84	0.45	0.03	0.87	0.04	0.08	0.33	-0.18	0.84	0.20	0.26	0.88	0.52	1.24	0.00	0.00	
ENSG00000116016	2034	EPAS1	protein_coding	HGNC Symbol	10	endothelial PAS domain protein 1 [Source:HGNC Symbol;Acc:HGNC:3374]	-0.41	-0.82	0.00	0.05	0.20	2.97	1.95	3.99	0.00	0.00	-4.85	-5.85	-3.84	0.00	0.00	-1.47	-1.91	-1.02	0.00	0.00	
ENSG00000116017	1820	ARID3A	protein_coding	HGNC Symbol	7	AT-rich interaction domain 3A [Source:HGNC Symbol;Acc:HGNC:3031]	-0.33	-0.54	-0.12	0.00	0.03	-0.62	-0.84	-0.40	0.00	0.00	0.35	0.10	0.59	0.01	0.01	0.06	-0.12	0.24	0.52	0.57	
ENSG00000116030	7341	SUMO1	protein_coding	HGNC Symbol	10	small ubiquitin-like modifier 1 [Source:HGNC Symbol;Acc:HGNC:12502]	-0.02	-0.19	0.14	0.77	0.90	-0.28	-0.45	-0.12	0.00	0.01	0.05	-0.14	0.24	0.59	0.65	-0.21	-0.35	-0.07	0.00	0.01	
ENSG00000116032	116444	GRIN3B	protein_coding	HGNC Symbol	2	glutamate ionotropic receptor NMDA type subunit 3B [Source:HGNC Symbol;Acc:HGNC:16768]	-0.18	-0.63	0.26	0.40	0.65	-0.29	-0.70	0.12	0.16	0.26	0.41	-0.07	0.89	0.09	0.13	0.31	-0.06	0.67	0.10	0.13	
ENSG00000116039	525	ATP6V1B1	protein_coding	HGNC Symbol	8	ATPase H+ transporting V1 subunit B1 [Source:HGNC Symbol;Acc:HGNC:853]	-0.11	-2.34	2.13	0.92	0.97	0.99	-0.06	2.05	0.06	0.13	3.33	1.31	5.36	0.00	0.00	4.43	3.02	5.85	0.00	0.00	
ENSG00000116044	4780	NFE2L2	protein_coding	HGNC Symbol	14	"nuclear factor, erythroid 2 like 2 [Source:HGNC Symbol;Acc:HGNC:7782]"	-0.11	-0.36	0.14	0.37	0.62	0.59	0.33	0.85	0.00	0.00	-0.41	-0.71	-0.11	0.01	0.02	0.29	0.09	0.50	0.01	0.01	
ENSG00000116062	2956	MSH6	protein_coding	HGNC Symbol	15	mutS homolog 6 [Source:HGNC Symbol;Acc:HGNC:7329]	0.04	-0.13	0.21	0.67	0.84	-0.03	-0.20	0.14	0.73	0.81	-0.20	-0.40	0.00	0.05	0.07	-0.27	-0.41	-0.12	0.00	0.00	
ENSG00000116095	65977	PLEKHA3	protein_coding	HGNC Symbol	4	pleckstrin homology domain containing A3 [Source:HGNC Symbol;Acc:HGNC:14338]	-0.09	-0.27	0.09	0.32	0.58	-0.08	-0.26	0.11	0.40	0.52	0.12	-0.08	0.33	0.23	0.30	0.14	-0.01	0.29	0.07	0.10	
ENSG00000116096	6697	SPR	protein_coding	HGNC Symbol	2	sepiapterin reductase [Source:HGNC Symbol;Acc:HGNC:11257]	0.05	-0.33	0.44	0.77	0.90	0.39	-0.20	0.97	0.19	0.29	-2.01	-2.59	-1.44	0.00	0.00	-1.68	-2.08	-1.28	0.00	0.00	
ENSG00000116106	2043	EPHA4	protein_coding	HGNC Symbol	14	EPH receptor A4 [Source:HGNC Symbol;Acc:HGNC:3388]	0.97	0.35	1.58	0.00	0.03	-1.26	-1.69	-0.82	0.00	0.00	5.70	5.07	6.34	0.00	0.00	3.48	3.07	3.88	0.00	0.00	
ENSG00000116117	117583	PARD3B	protein_coding	HGNC Symbol	14	par-3 family cell polarity regulator beta [Source:HGNC Symbol;Acc:HGNC:14446]	0.56	0.21	0.92	0.00	0.03	0.42	0.15	0.70	0.00	0.01	1.20	0.82	1.58	0.00	0.00	1.06	0.81	1.30	0.00	0.00	
ENSG00000116120	10056	FARSB	protein_coding	HGNC Symbol	1	phenylalanyl-tRNA synthetase beta subunit [Source:HGNC Symbol;Acc:HGNC:17800]	0.15	-0.05	0.34	0.14	0.36	0.38	0.18	0.57	0.00	0.00	0.02	-0.21	0.24	0.88	0.91	0.25	0.08	0.41	0.00	0.01	
ENSG00000116127	7840	ALMS1	protein_coding	HGNC Symbol	8	"ALMS1, centrosome and basal body associated protein [Source:HGNC Symbol;Acc:HGNC:428]"	0.20	-0.02	0.43	0.07	0.25	-0.08	-0.31	0.15	0.50	0.62	0.46	0.20	0.72	0.00	0.00	0.18	-0.01	0.37	0.06	0.08	
ENSG00000116128	607	BCL9	protein_coding	HGNC Symbol	3	B-cell CLL/lymphoma 9 [Source:HGNC Symbol;Acc:HGNC:1008]	0.39	0.16	0.63	0.00	0.02	0.10	-0.14	0.33	0.40	0.52	0.81	0.54	1.08	0.00	0.00	0.51	0.32	0.71	0.00	0.00	
ENSG00000116133	1718	DHCR24	protein_coding	HGNC Symbol	3	24-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2859]	0.36	0.05	0.67	0.03	0.13	0.21	-0.10	0.53	0.18	0.28	-0.63	-0.99	-0.27	0.00	0.00	-0.77	-1.03	-0.51	0.00	0.00	
ENSG00000116138	23341	DNAJC16	protein_coding	HGNC Symbol	10	DnaJ heat shock protein family (Hsp40) member C16 [Source:HGNC Symbol;Acc:HGNC:29157]	-0.01	-0.25	0.24	0.96	0.98	0.16	-0.07	0.40	0.17	0.27	0.58	0.30	0.85	0.00	0.00	0.74	0.54	0.94	0.00	0.00	
ENSG00000116141	4139	MARK1	protein_coding	HGNC Symbol	5	microtubule affinity regulating kinase 1 [Source:HGNC Symbol;Acc:HGNC:6896]	0.10	-0.17	0.38	0.45	0.69	0.08	-0.19	0.36	0.54	0.65	0.15	-0.17	0.47	0.34	0.41	0.13	-0.10	0.36	0.25	0.30	
ENSG00000116151	79906	MORN1	protein_coding	HGNC Symbol	11	MORN repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:25852]	-0.16	-0.55	0.23	0.41	0.66	0.36	0.05	0.67	0.02	0.06	1.02	0.61	1.43	0.00	0.00	1.54	1.25	1.84	0.00	0.00	
ENSG00000116157	2882	GPX7	protein_coding	HGNC Symbol	2	glutathione peroxidase 7 [Source:HGNC Symbol;Acc:HGNC:4559]	0.04	-0.33	0.42	0.82	0.92	0.63	0.26	1.00	0.00	0.01	-0.05	-0.49	0.38	0.81	0.85	0.53	0.24	0.83	0.00	0.00	
ENSG00000116161	27101	CACYBP	protein_coding	HGNC Symbol	9	calcyclin binding protein [Source:HGNC Symbol;Acc:HGNC:30423]	-0.06	-0.25	0.13	0.54	0.76	0.48	0.28	0.67	0.00	0.00	-0.34	-0.56	-0.12	0.00	0.01	0.20	0.03	0.36	0.02	0.03	
ENSG00000116171	6342	SCP2	protein_coding	HGNC Symbol	17	sterol carrier protein 2 [Source:HGNC Symbol;Acc:HGNC:10606]	0.00	-0.23	0.22	0.97	0.99	0.47	0.23	0.70	0.00	0.00	-0.28	-0.54	-0.01	0.04	0.07	0.19	0.00	0.38	0.05	0.06	
ENSG00000116176	25823	TPSG1	protein_coding	HGNC Symbol	2	tryptase gamma 1 [Source:HGNC Symbol;Acc:HGNC:14134]	0.37	-0.38	1.12	0.32	0.58	-1.16	-1.70	-0.63	0.00	0.00	2.12	1.38	2.86	0.00	0.00	0.58	0.03	1.13	0.04	0.05	
ENSG00000116183	60676	PAPPA2	protein_coding	HGNC Symbol	5	pappalysin 2 [Source:HGNC Symbol;Acc:HGNC:14615]	0.26	-0.11	0.64	0.16	0.40	2.41	1.96	2.87	0.00	0.00	-1.18	-1.70	-0.66	0.00	0.00	0.97	0.69	1.24	0.00	0.00	
ENSG00000116191	55103	RALGPS2	protein_coding	HGNC Symbol	9	Ral GEF with PH domain and SH3 binding motif 2 [Source:HGNC Symbol;Acc:HGNC:30279]	-0.30	-0.46	-0.15	0.00	0.01	0.20	0.05	0.36	0.01	0.04	-0.20	-0.38	-0.03	0.03	0.04	0.30	0.17	0.43	0.00	0.00	
ENSG00000116194	9068	ANGPTL1	protein_coding	HGNC Symbol	3	angiopoietin like 1 [Source:HGNC Symbol;Acc:HGNC:489]	0.08	-0.71	0.88	0.83	0.93	0.38	-0.27	1.04	0.24	0.36	0.78	-0.07	1.63	0.07	0.11	1.08	0.50	1.66	0.00	0.00	
ENSG00000116198	9731	CEP104	protein_coding	HGNC Symbol	11	centrosomal protein 104 [Source:HGNC Symbol;Acc:HGNC:24866]	-0.10	-0.35	0.15	0.41	0.66	0.35	0.09	0.60	0.01	0.03	-0.29	-0.58	0.00	0.05	0.08	0.16	-0.05	0.36	0.13	0.16	
ENSG00000116199	9917	FAM20B	protein_coding	HGNC Symbol	2	"FAM20B, glycosaminoglycan xylosylkinase [Source:HGNC Symbol;Acc:HGNC:23017]"	0.03	-0.17	0.22	0.79	0.91	0.48	0.28	0.68	0.00	0.00	-0.05	-0.28	0.17	0.63	0.69	0.40	0.23	0.56	0.00	0.00	
ENSG00000116205	127428	TCEANC2	protein_coding	HGNC Symbol	4	transcription elongation factor A N-terminal and central domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26494]	0.15	-0.12	0.42	0.26	0.51	0.55	0.30	0.79	0.00	0.00	0.41	0.11	0.71	0.01	0.02	0.81	0.60	1.01	0.00	0.00	
ENSG00000116209	9528	TMEM59	protein_coding	HGNC Symbol	9	transmembrane protein 59 [Source:HGNC Symbol;Acc:HGNC:1239]	-0.01	-0.35	0.33	0.97	0.99	0.42	0.07	0.77	0.02	0.05	-0.32	-0.72	0.08	0.11	0.15	0.11	-0.18	0.39	0.46	0.51	
ENSG00000116212	115353	LRRC42	protein_coding	HGNC Symbol	5	leucine rich repeat containing 42 [Source:HGNC Symbol;Acc:HGNC:28792]	0.14	-0.06	0.35	0.16	0.40	0.44	0.24	0.64	0.00	0.00	0.21	-0.02	0.45	0.08	0.11	0.51	0.34	0.68	0.00	0.00	
ENSG00000116213	49856	WRAP73	protein_coding	HGNC Symbol	10	"WD repeat containing, antisense to TP73 [Source:HGNC Symbol;Acc:HGNC:12759]"	-0.60	-0.80	-0.40	0.00	0.00	0.32	0.10	0.55	0.01	0.02	-0.89	-1.13	-0.65	0.00	0.00	0.03	-0.15	0.21	0.75	0.79	
ENSG00000116221	51253	MRPL37	protein_coding	HGNC Symbol	6	mitochondrial ribosomal protein L37 [Source:HGNC Symbol;Acc:HGNC:14034]	-0.09	-0.32	0.13	0.40	0.66	0.40	0.16	0.64	0.00	0.01	-0.59	-0.85	-0.32	0.00	0.00	-0.09	-0.29	0.10	0.33	0.39	
ENSG00000116237	23463	ICMT	protein_coding	HGNC Symbol	4	isoprenylcysteine carboxyl methyltransferase [Source:HGNC Symbol;Acc:HGNC:5350]	-0.06	-0.32	0.20	0.64	0.82	0.24	-0.02	0.51	0.07	0.14	0.19	-0.11	0.49	0.21	0.27	0.49	0.27	0.71	0.00	0.00	
ENSG00000116251	6146	RPL22	protein_coding	HGNC Symbol	8	ribosomal protein L22 [Source:HGNC Symbol;Acc:HGNC:10315]	-0.10	-0.32	0.12	0.35	0.61	-0.03	-0.26	0.20	0.79	0.85	0.40	0.15	0.66	0.00	0.01	0.47	0.29	0.66	0.00	0.00	
ENSG00000116254	26038	CHD5	protein_coding	HGNC Symbol	6	chromodomain helicase DNA binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16816]	-1.21	-1.64	-0.78	0.00	0.00	0.28	-0.28	0.85	0.32	0.44	-1.72	-2.28	-1.16	0.00	0.00	-0.23	-0.67	0.21	0.29	0.34	
ENSG00000116260	5768	QSOX1	protein_coding	HGNC Symbol	4	quiescin sulfhydryl oxidase 1 [Source:HGNC Symbol;Acc:HGNC:9756]	0.08	-0.14	0.30	0.48	0.72	0.11	-0.12	0.34	0.33	0.45	-0.84	-1.10	-0.58	0.00	0.00	-0.80	-0.99	-0.62	0.00	0.00	
ENSG00000116266	6814	STXBP3	protein_coding	HGNC Symbol	7	syntaxin binding protein 3 [Source:HGNC Symbol;Acc:HGNC:11446]	0.04	-0.17	0.26	0.68	0.85	0.19	-0.02	0.40	0.08	0.15	0.46	0.22	0.71	0.00	0.00	0.60	0.43	0.78	0.00	0.00	
ENSG00000116273	148479	PHF13	protein_coding	HGNC Symbol	2	PHD finger protein 13 [Source:HGNC Symbol;Acc:HGNC:22983]	-0.10	-0.25	0.05	0.17	0.41	0.13	-0.02	0.28	0.09	0.16	0.23	0.06	0.41	0.01	0.02	0.47	0.34	0.59	0.00	0.00	
ENSG00000116285	54206	ERRFI1	protein_coding	HGNC Symbol	5	ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:18185]	0.03	-0.20	0.26	0.77	0.90	0.15	-0.09	0.39	0.22	0.33	-0.26	-0.53	0.01	0.06	0.09	-0.14	-0.34	0.05	0.14	0.18	
ENSG00000116288	11315	PARK7	protein_coding	HGNC Symbol	10	Parkinsonism associated deglycase [Source:HGNC Symbol;Acc:HGNC:16369]	-0.03	-0.28	0.22	0.80	0.91	0.30	0.05	0.56	0.02	0.05	0.00	-0.29	0.29	0.99	0.99	0.34	0.13	0.55	0.00	0.00	
ENSG00000116299	57535	KIAA1324	protein_coding	HGNC Symbol	14	KIAA1324 [Source:HGNC Symbol;Acc:HGNC:29618]	0.80	-0.03	1.63	0.06	0.22	1.23	0.46	2.00	0.00	0.01	0.23	-0.75	1.22	0.63	0.69	0.66	0.09	1.23	0.02	0.04	
ENSG00000116329	4985	OPRD1	protein_coding	HGNC Symbol	2	opioid receptor delta 1 [Source:HGNC Symbol;Acc:HGNC:8153]	0.05	-0.47	0.57	0.85	0.94	0.79	0.16	1.41	0.02	0.04	-0.96	-1.64	-0.28	0.01	0.01	-0.22	-0.66	0.22	0.32	0.37	
ENSG00000116337	271	AMPD2	protein_coding	HGNC Symbol	26	adenosine monophosphate deaminase 2 [Source:HGNC Symbol;Acc:HGNC:469]	-0.24	-0.58	0.10	0.16	0.40	1.11	0.75	1.46	0.00	0.00	-0.57	-0.97	-0.17	0.01	0.01	0.77	0.49	1.05	0.00	0.00	
ENSG00000116350	6429	SRSF4	protein_coding	HGNC Symbol	8	serine and arginine rich splicing factor 4 [Source:HGNC Symbol;Acc:HGNC:10786]	-0.08	-0.27	0.11	0.41	0.66	0.55	0.35	0.74	0.00	0.00	-0.57	-0.79	-0.35	0.00	0.00	0.06	-0.10	0.22	0.46	0.51	
ENSG00000116353	51102	MECR	protein_coding	HGNC Symbol	18	mitochondrial trans-2-enoyl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:19691]	-0.08	-0.30	0.14	0.45	0.69	0.15	-0.08	0.37	0.19	0.30	-0.11	-0.36	0.15	0.40	0.48	0.12	-0.06	0.31	0.18	0.22	
ENSG00000116396	3749	KCNC4	protein_coding	HGNC Symbol	8	potassium voltage-gated channel subfamily C member 4 [Source:HGNC Symbol;Acc:HGNC:6236]	-0.19	-0.49	0.11	0.21	0.46	0.40	0.03	0.77	0.03	0.08	-1.08	-1.47	-0.70	0.00	0.00	-0.50	-0.77	-0.22	0.00	0.00	
ENSG00000116406	80267	EDEM3	protein_coding	HGNC Symbol	6	ER degradation enhancing alpha-mannosidase like protein 3 [Source:HGNC Symbol;Acc:HGNC:16787]	0.15	-0.13	0.42	0.29	0.56	0.36	0.08	0.63	0.01	0.03	0.65	0.33	0.97	0.00	0.00	0.86	0.63	1.09	0.00	0.00	
ENSG00000116455	79084	WDR77	protein_coding	HGNC Symbol	4	WD repeat domain 77 [Source:HGNC Symbol;Acc:HGNC:29652]	0.14	-0.13	0.41	0.31	0.57	0.39	0.11	0.66	0.01	0.02	0.00	-0.32	0.31	0.99	0.99	0.25	0.03	0.47	0.03	0.04	
ENSG00000116459	515	ATP5F1	protein_coding	HGNC Symbol	6	"ATP synthase, H+ transporting, mitochondrial Fo complex subunit B1 [Source:HGNC Symbol;Acc:HGNC:840]"	-0.04	-0.28	0.20	0.72	0.87	0.27	0.02	0.51	0.03	0.08	0.22	-0.05	0.50	0.11	0.15	0.53	0.33	0.73	0.00	0.00	
ENSG00000116473	5906	RAP1A	protein_coding	HGNC Symbol	4	"RAP1A, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9855]"	0.25	0.03	0.47	0.03	0.13	0.89	0.66	1.12	0.00	0.00	-0.34	-0.60	-0.08	0.01	0.02	0.30	0.13	0.47	0.00	0.00	
ENSG00000116478	3065	HDAC1	protein_coding	HGNC Symbol	10	histone deacetylase 1 [Source:HGNC Symbol;Acc:HGNC:4852]	-0.08	-0.25	0.09	0.33	0.59	0.32	0.14	0.49	0.00	0.00	0.11	-0.09	0.31	0.25	0.32	0.51	0.37	0.65	0.00	0.00	
ENSG00000116489	829	CAPZA1	protein_coding	HGNC Symbol	6	capping actin protein of muscle Z-line alpha subunit 1 [Source:HGNC Symbol;Acc:HGNC:1488]	-0.05	-0.24	0.14	0.62	0.81	0.62	0.43	0.82	0.00	0.00	0.26	0.04	0.47	0.02	0.04	0.93	0.77	1.09	0.00	0.00	
ENSG00000116497	64766	S100PBP	protein_coding	HGNC Symbol	16	S100P binding protein [Source:HGNC Symbol;Acc:HGNC:25768]	-0.13	-0.32	0.06	0.17	0.41	0.14	-0.05	0.33	0.13	0.23	0.08	-0.14	0.29	0.47	0.54	0.35	0.19	0.51	0.00	0.00	
ENSG00000116514	127544	RNF19B	protein_coding	HGNC Symbol	3	ring finger protein 19B [Source:HGNC Symbol;Acc:HGNC:26886]	-0.53	-0.81	-0.25	0.00	0.01	0.33	0.05	0.61	0.02	0.05	-0.21	-0.53	0.11	0.18	0.24	0.65	0.41	0.89	0.00	0.00	
ENSG00000116525	55223	TRIM62	protein_coding	HGNC Symbol	4	tripartite motif containing 62 [Source:HGNC Symbol;Acc:HGNC:25574]	-0.35	-0.65	-0.04	0.03	0.13	-0.31	-0.62	0.01	0.06	0.11	-0.13	-0.48	0.21	0.43	0.51	-0.09	-0.37	0.18	0.48	0.54	
ENSG00000116539	55870	ASH1L	protein_coding	HGNC Symbol	7	ASH1 like histone lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:19088]	-0.02	-0.31	0.27	0.89	0.96	0.25	-0.05	0.54	0.10	0.18	0.34	0.00	0.68	0.05	0.07	0.61	0.36	0.85	0.00	0.00	
ENSG00000116544	58512	DLGAP3	protein_coding	HGNC Symbol	3	DLG associated protein 3 [Source:HGNC Symbol;Acc:HGNC:30368]	-0.33	-0.68	0.03	0.07	0.24	0.34	-0.07	0.75	0.10	0.18	-0.87	-1.31	-0.43	0.00	0.00	-0.21	-0.52	0.11	0.20	0.24	
ENSG00000116560	6421	SFPQ	protein_coding	HGNC Symbol	10	splicing factor proline and glutamine rich [Source:HGNC Symbol;Acc:HGNC:10774]	-0.16	-0.54	0.23	0.41	0.66	-0.02	-0.42	0.38	0.92	0.95	0.87	0.42	1.31	0.00	0.00	1.00	0.68	1.33	0.00	0.00	
ENSG00000116574	58480	RHOU	protein_coding	HGNC Symbol	1	ras homolog family member U [Source:HGNC Symbol;Acc:HGNC:17794]	-0.01	-0.54	0.51	0.96	0.98	0.08	-0.37	0.53	0.73	0.81	1.55	0.99	2.12	0.00	0.00	1.65	1.24	2.06	0.00	0.00	
ENSG00000116580	54856	GON4L	protein_coding	HGNC Symbol	19	gon-4 like [Source:HGNC Symbol;Acc:HGNC:25973]	-0.17	-0.36	0.03	0.09	0.28	-0.06	-0.25	0.13	0.51	0.63	0.74	0.52	0.96	0.00	0.00	0.84	0.68	1.00	0.00	0.00	
ENSG00000116584	9181	ARHGEF2	protein_coding	HGNC Symbol	20	Rho/Rac guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:682]	-0.24	-0.45	-0.04	0.02	0.12	0.09	-0.12	0.30	0.40	0.52	0.49	0.26	0.73	0.00	0.00	0.82	0.65	1.00	0.00	0.00	
ENSG00000116586	28956	LAMTOR2	protein_coding	HGNC Symbol	6	"late endosomal/lysosomal adaptor, MAPK and MTOR activator 2 [Source:HGNC Symbol;Acc:HGNC:29796]"	-0.13	-0.44	0.19	0.42	0.67	-0.38	-0.68	-0.08	0.02	0.04	0.47	0.13	0.82	0.01	0.02	0.22	-0.04	0.49	0.09	0.12	
ENSG00000116604	4209	MEF2D	protein_coding	HGNC Symbol	7	myocyte enhancer factor 2D [Source:HGNC Symbol;Acc:HGNC:6997]	0.13	-0.17	0.42	0.38	0.63	0.80	0.47	1.13	0.00	0.00	-0.72	-1.09	-0.35	0.00	0.00	-0.04	-0.29	0.20	0.72	0.76	
ENSG00000116641	85440	DOCK7	protein_coding	HGNC Symbol	37	dedicator of cytokinesis 7 [Source:HGNC Symbol;Acc:HGNC:19190]	0.24	0.04	0.44	0.02	0.12	0.43	0.22	0.63	0.00	0.00	0.94	0.71	1.17	0.00	0.00	1.12	0.95	1.29	0.00	0.00	
ENSG00000116649	6723	SRM	protein_coding	HGNC Symbol	6	spermidine synthase [Source:HGNC Symbol;Acc:HGNC:11296]	-0.07	-0.38	0.25	0.67	0.85	0.30	-0.05	0.65	0.09	0.16	-0.62	-1.00	-0.24	0.00	0.01	-0.25	-0.53	0.02	0.07	0.09	
ENSG00000116652	NA	DLEU2L	sense_intronic	HGNC Symbol	1	deleted in lymphocytic leukemia 2-like [Source:HGNC Symbol;Acc:HGNC:13225]	0.44	-0.38	1.26	0.28	0.54	0.57	-0.07	1.21	0.08	0.15	1.11	0.23	1.98	0.01	0.03	1.24	0.67	1.80	0.00	0.00	
ENSG00000116661	26232	FBXO2	protein_coding	HGNC Symbol	6	F-box protein 2 [Source:HGNC Symbol;Acc:HGNC:13581]	-0.25	-0.66	0.16	0.22	0.47	-1.24	-1.77	-0.72	0.00	0.00	-1.20	-1.71	-0.70	0.00	0.00	-2.20	-2.64	-1.76	0.00	0.00	
ENSG00000116663	26270	FBXO6	protein_coding	HGNC Symbol	3	F-box protein 6 [Source:HGNC Symbol;Acc:HGNC:13585]	-0.14	-0.59	0.31	0.52	0.75	-0.01	-0.47	0.46	0.98	0.99	-0.15	-0.67	0.37	0.56	0.62	-0.01	-0.40	0.37	0.94	0.95	
ENSG00000116667	81563	C1orf21	protein_coding	HGNC Symbol	4	chromosome 1 open reading frame 21 [Source:HGNC Symbol;Acc:HGNC:15494]	0.30	0.02	0.59	0.03	0.15	0.07	-0.18	0.32	0.57	0.68	1.91	1.60	2.22	0.00	0.00	1.68	1.46	1.90	0.00	0.00	
ENSG00000116668	54823	SWT1	protein_coding	HGNC Symbol	3	"SWT1, RNA endoribonuclease homolog [Source:HGNC Symbol;Acc:HGNC:16785]"	0.05	-0.22	0.31	0.72	0.88	0.63	0.39	0.88	0.00	0.00	0.19	-0.11	0.49	0.21	0.27	0.78	0.57	0.98	0.00	0.00	
ENSG00000116670	10459	MAD2L2	protein_coding	HGNC Symbol	9	mitotic arrest deficient 2 like 2 [Source:HGNC Symbol;Acc:HGNC:6764]	-0.18	-0.43	0.08	0.16	0.39	-0.19	-0.45	0.06	0.14	0.23	-0.62	-0.91	-0.33	0.00	0.00	-0.64	-0.85	-0.42	0.00	0.00	
ENSG00000116675	9829	DNAJC6	protein_coding	HGNC Symbol	8	DnaJ heat shock protein family (Hsp40) member C6 [Source:HGNC Symbol;Acc:HGNC:15469]	0.51	0.15	0.86	0.01	0.05	0.55	0.26	0.84	0.00	0.00	1.27	0.89	1.66	0.00	0.00	1.32	1.07	1.57	0.00	0.00	
ENSG00000116678	3953	LEPR	protein_coding	HGNC Symbol	8	leptin receptor [Source:HGNC Symbol;Acc:HGNC:6554]	0.53	0.05	1.00	0.03	0.14	-0.47	-0.84	-0.09	0.02	0.04	1.99	1.50	2.49	0.00	0.00	1.00	0.65	1.34	0.00	0.00	
ENSG00000116679	10625	IVNS1ABP	protein_coding	HGNC Symbol	9	influenza virus NS1A binding protein [Source:HGNC Symbol;Acc:HGNC:16951]	-0.19	-0.36	-0.01	0.04	0.16	0.75	0.57	0.93	0.00	0.00	-1.06	-1.26	-0.86	0.00	0.00	-0.12	-0.27	0.03	0.11	0.14	
ENSG00000116685	90231	KIAA2013	protein_coding	HGNC Symbol	3	KIAA2013 [Source:HGNC Symbol;Acc:HGNC:28513]	-0.26	-0.49	-0.03	0.03	0.14	0.27	0.03	0.50	0.03	0.06	0.11	-0.15	0.38	0.40	0.47	0.64	0.44	0.83	0.00	0.00	
ENSG00000116685	102724984	KIAA2013	protein_coding	HGNC Symbol	3	KIAA2013 [Source:HGNC Symbol;Acc:HGNC:28513]	-0.26	-0.49	-0.03	0.03	0.14	0.27	0.03	0.50	0.03	0.06	0.11	-0.15	0.38	0.40	0.47	0.64	0.44	0.83	0.00	0.00	
ENSG00000116688	9927	MFN2	protein_coding	HGNC Symbol	6	mitofusin 2 [Source:HGNC Symbol;Acc:HGNC:16877]	-0.21	-0.45	0.03	0.08	0.26	0.64	0.39	0.88	0.00	0.00	-0.01	-0.28	0.27	0.95	0.97	0.84	0.64	1.04	0.00	0.00	
ENSG00000116691	60672	MIIP	protein_coding	HGNC Symbol	7	migration and invasion inhibitory protein [Source:HGNC Symbol;Acc:HGNC:25715]	-0.11	-0.33	0.12	0.34	0.60	0.25	0.02	0.48	0.04	0.08	-0.19	-0.46	0.07	0.14	0.20	0.17	-0.02	0.36	0.08	0.11	
ENSG00000116698	9887	SMG7	protein_coding	HGNC Symbol	16	"SMG7, nonsense mediated mRNA decay factor [Source:HGNC Symbol;Acc:HGNC:16792]"	0.39	-0.13	0.90	0.13	0.35	0.14	-0.39	0.66	0.59	0.70	0.01	-0.58	0.61	0.97	0.97	-0.23	-0.66	0.19	0.26	0.31	
ENSG00000116704	23169	SLC35D1	protein_coding	HGNC Symbol	1	solute carrier family 35 member D1 [Source:HGNC Symbol;Acc:HGNC:20800]	0.05	-0.53	0.63	0.86	0.94	1.08	0.61	1.55	0.00	0.00	0.75	0.13	1.37	0.02	0.03	1.78	1.36	2.19	0.00	0.00	
